hd,smartContractId,name,object,info,price,img
1350,800,1350,star,,0.15,
1352,801,1352,star,,0.15,
1358,802,1358,star,,0.15,
1359,803,1359,star,,0.15,
1360,804,1360,star,,0.15,
1361,805,1361,star,,0.15,
1362,806,1362,star,,0.15,
1363,807,1363,star,,0.15,
1364,808,1364,star,,0.15,
1365,809,1365,star,,0.15,
1366,810,1366,star,,0.15,
1367,811,1367,star,,0.15,
1368,812,1368,star,,0.15,
1369,813,1369,star,,0.15,
1370,814,1370,star,,0.15,
1371,815,1371,star,,0.15,
1372,816,1372,star,,0.15,
1374,817,1374,star,,0.15,
1375,818,1375,star,,0.15,
1376,819,1376,star,,0.15,
1379,820,1379,star,,0.15,
1380,821,1380,star,,0.15,
1381,822,1381,star,,0.15,
1382,823,1382,star,,0.15,
1383,824,1383,star,,0.15,
1384,825,1384,star,,0.15,
1388,826,1388,star,,0.15,
1389,827,1389,star,,0.15,
1391,828,1391,star,,0.15,
1392,829,1392,star,,0.15,
1393,830,1393,star,,0.15,
1396,831,1396,star,,0.15,
1397,832,1397,star,,0.15,
1400,833,1400,star,,0.15,
1402,834,1402,star,,0.15,
1404,835,1404,star,,0.15,
1406,836,1406,star,,0.15,
1407,837,1407,star,,0.15,
1409,838,1409,star,,0.15,
1410,839,1410,star,,0.15,
1413,840,1413,star,,0.15,
1417,841,1417,star,,0.15,
1418,842,1418,star,,0.15,
1419,843,1419,star,,0.15,
1421,844,1421,star,,0.15,
1424,845,1424,star,,0.15,
1426,846,1426,star,,0.15,
1428,847,1428,star,,0.15,
1429,848,1429,star,,0.15,
1430,849,1430,star,,0.15,
1431,850,1431,star,,0.15,
1432,851,1432,star,,0.15,
1434,852,1434,star,,0.15,
1436,853,1436,star,,0.15,
1437,854,1437,star,,0.15,
1438,855,1438,star,,0.15,
1439,856,1439,star,,0.15,
1444,857,1444,star,,0.15,
1445,858,1445,star,,0.15,
1447,859,1447,star,,0.15,
1448,860,1448,star,,0.15,
1449,861,1449,star,,0.15,
1450,862,1450,star,,0.15,
1451,863,1451,star,,0.15,
1452,864,1452,star,,0.15,
1453,865,1453,star,,0.15,
1454,866,1454,star,,0.15,
1455,867,1455,star,,0.15,
1457,868,1457,star,,0.15,
1458,869,1458,star,,0.15,
1461,870,1461,star,"HD 1461 (32 G. Ceti) is a G0V class star slightly more massive than the Sun (G2V), and located about 76 light-years (23.3 parsecs ) away in the constellation of Cetus.",0.15,
1463,871,1463,star,,0.15,
1464,872,1464,star,,0.15,
1466,873,1466,star,,0.15,
